,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9821935724604485,0.9809783216376623,0.983661840804698,0.9701330706040282
Precision_0,0.9896769673095185,0.9853425646067122,0.9882418974529794,0.9717683692340922
Recall_0,0.9923025523463416,0.9953252762576855,0.9951245536563207,0.9981413351222295
F1_0,0.9909880207340803,0.9903087636315858,0.9916712834961396,0.9847783127844518
Precision_1,0.7186012020919522,0.8435196560196561,0.8004307250538406,0.7510570824524313
Recall_1,0.7110527535336372,0.4242681702324863,0.6889626940604001,0.10975515563450992
F1_1,0.7148070502368197,0.5645716634976103,0.7405255074509153,0.19152233978030864
Precision_2,0.7453637660485022,0.792857890878626,0.7918327575515989,0.6839721254355401
Recall_2,0.6487157600682859,0.5874912702723675,0.6936447582835416,0.1523240474897183
F1_2,0.6936895822096835,0.6748974861829203,0.739493712772998,0.24915910389033447
Precision_3,0.7456039586462844,0.7537389879123131,0.801527428518208,0.6811873554356207
Recall_3,0.676663993584603,0.590056134723336,0.6901363271852445,0.1417000801924619
F1_3,0.7094631521419262,0.6619287513494062,0.7416727711466368,0.234599044078598
Precision_4,0.7456992601836171,0.793286594433822,0.8639079119918402,0.706880301602262
Recall_4,0.6814368331025494,0.6082919279954386,0.4829355705791317,0.12217968559094242
F1_4,0.7121212121212122,0.6885805172652252,0.6195402298850575,0.20834780193068964
Avg_F1,0.7642138034887443,0.7160574363853496,0.7665807009503494,0.3736813204928765
