,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9225746683802059,0.9207227744803753,0.9436421185520896,0.9253547798208049
Precision_0,0.9599261877342409,0.955574163938773,0.9677415290011215,0.9294156342506305
Recall_0,0.9725778151310066,0.963564874203172,0.9813941601175644,0.9999498680349744
F1_0,0.9662105878894826,0.9595528836294385,0.9745200299465784,0.9633934469312233
Precision_1,0.36212737127371275,0.46238441511805367,0.5435016111707841,1.0
Recall_1,0.3585873107149703,0.493626605328733,0.5092006900517538,0.0
F1_1,0.3603486468265434,0.47749501691929724,0.5257923253915238,0.0
Precision_2,0.3315330607206234,0.43566254793353215,0.5815620365793376,1.0
Recall_2,0.19612944452051667,0.37336254507280114,0.42959514354831346,0.0
F1_2,0.24645827358761113,0.4021138011552169,0.49415903184312077,0.0
Precision_3,0.39819004524886875,0.5468973503167359,0.5978518314513908,0.25
Recall_3,0.3801113457477443,0.38534267613745443,0.5209253215588404,4.799385678633135e-05
F1_3,0.3889407258262535,0.4521215192724611,0.5567438639686081,9.596928982725528e-05
Precision_4,0.3970351848544383,0.3588150734161618,0.6269543868716888,0.2431270158193826
Recall_4,0.3316755358830258,0.347590391405978,0.48261799373352565,0.07872880091510419
F1_4,0.36142423585519184,0.35311355311355314,0.5453983419980328,0.11894206927642949
Avg_F1,0.4646764939970165,0.5288793548179933,0.6193227186295728,0.21648629709949602
