,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,layer12_hidden_states,layer13_hidden_states,layer14_hidden_states,layer15_hidden_states,layer16_hidden_states,layer17_hidden_states,layer18_hidden_states,layer19_hidden_states,layer20_hidden_states,layer21_hidden_states,layer22_hidden_states,layer23_hidden_states,x_hidden_states
Acc,0.42550304042592063,0.4303311845916956,0.4307487538168437,0.39642978312498367,0.39272385625179423,0.417308244382389,0.39856982540386776,0.40279771380849233,0.3876869274734452,0.4131586502074797,0.3991439830884464,0.40895685987942687,0.4322363441814338,0.4335673460865934,0.4405616306078242,0.4775165070334316,0.5183860949448026,0.540647754260511,0.5960800688989222,0.676644831275935,0.7538429417751912,0.8306234830492992,0.9054466685805256,0.934363337422032,0.4070517002896886
Precision_0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Recall_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision_1,0.42131519274376417,0.41498148675591,0.44536271808999084,0.4255804589987921,0.3831198746890261,0.40037712130735387,0.36048632218844984,0.4011306230454655,0.35989146521953624,0.42595523400406965,0.4244989418648077,0.36501626310083124,0.4172260565377706,0.4105980471928397,0.46724821570182395,0.4775616646745626,0.5116233059649817,0.5187522218272307,0.6013855857718954,0.6968414533443436,0.7691058560844413,0.8441932168550874,0.9209448818897638,0.9488972565895643,0.41712079927338785
Recall_1,0.49393874946831134,0.4648022118247554,0.4125903870693322,0.33719693747341556,0.4421522756273926,0.4741599319438537,0.567524457677584,0.35463632496809866,0.6205869842620162,0.40068056146320713,0.3626116546150574,0.5370055295618885,0.4692683964270523,0.4292854104636325,0.31327094853253934,0.46735431731178223,0.5499787324542748,0.6206933219906423,0.6184602296894939,0.7178860059549128,0.8058273075287112,0.8734581029349213,0.9327945555082944,0.9378987664823479,0.3906848149723522
F1_1,0.45474570463556707,0.43848121582986405,0.4283506292779863,0.37626816968258675,0.41052475687416695,0.434156078087727,0.44091040522119873,0.37645332430296874,0.4555815768930523,0.41293150684931507,0.39112232608820324,0.4346142260854598,0.44171963365196937,0.4197338323975879,0.375071614997772,0.4724028591390337,0.5301081330395121,0.5651626646010844,0.6098034076015727,0.7072072072072072,0.787038479513943,0.8585763562245218,0.9268318453167098,0.9433659553986844,0.4034702394025917
Precision_2,0.4509518773135907,0.39952316076294275,0.42380034865584,0.43469419677772564,0.47387921452389775,0.4544596507786692,0.4614152591729761,0.5027276542173731,0.5665476797552269,0.42349520835576615,0.3586381412468369,0.433593152987926,0.46605795950774115,0.44688512783579404,0.4699059157107875,0.4746524938675388,0.5092792895366048,0.5297518189973088,0.5942291311754685,0.6980645161290323,0.7963970499335026,0.8304467733039161,0.9060531653677805,0.928638399833316,0.4491696414713643
Recall_2,0.35679916317991633,0.49079497907949793,0.4831589958158996,0.2906903765690377,0.2675732217573222,0.3021966527196653,0.33148535564853554,0.2506276150627615,0.11621338912133891,0.4114016736401674,0.4892259414225941,0.2967573221757322,0.3684100418410042,0.3894351464435146,0.3813807531380753,0.48577405857740585,0.4678870292887029,0.5559623430962343,0.5837866108786611,0.6224895397489539,0.6890167364016736,0.7874476987447698,0.8877615062761506,0.9324267782426778,0.30271966527196653
F1_2,0.39838822704975474,0.44048066090874954,0.4515372207830295,0.34839842035980695,0.3420243348041182,0.36300810454231325,0.38580472364256146,0.33449671925171015,0.19286520267337906,0.4173608531861835,0.41387549223485687,0.35235670371980377,0.41152071040486066,0.41618690961936167,0.4210404757780472,0.4801488833746898,0.48770648203674427,0.5425407033124074,0.5889615871675813,0.6581144594968206,0.7388256407380405,0.8083758389261745,0.8968140751307656,0.9305287332324234,0.3616821845903893
Precision_3,0.39754260800634167,0.4472927347755408,0.4245532409855134,0.3502116850127011,0.3465256453997498,0.4319912948857454,0.46868058640604177,0.35584651283380864,0.38052182898475845,0.44352617079889806,0.3853211009174312,0.4484816337355788,0.41485947680637947,0.40568190760997874,0.43825543916196613,0.46780224345658494,0.5304365441101996,0.5259508514326502,0.6212519726459758,0.7120235885115213,0.7776010181355393,0.8243578300109095,0.8541543901001768,0.930921052631579,0.40990631851704207
Recall_3,0.5302389511524636,0.37819835060266443,0.4245083527172764,0.6559526326919011,0.6443222668640305,0.419750475787693,0.22309156269824487,0.5804609854091775,0.467223514485092,0.32342990061323745,0.45739056883061957,0.3575808839078029,0.45104673292450836,0.5450412349333897,0.46003383379149926,0.47621061535208287,0.553711144005075,0.5453584267286953,0.62433918375978,0.6893635017974201,0.7752167477267922,0.8788327341932756,0.9195390145908225,0.9275745400718968,0.4348699513639247
F1_3,0.4544013047614733,0.4098539100544257,0.4245307956648163,0.4566297427593567,0.4506729773702115,0.42578292578292576,0.3022922636103152,0.44121192638431245,0.41943903943809024,0.37407520635891167,0.4182741116751269,0.39790575916230364,0.43219695050909274,0.4651477554703361,0.448880635510162,0.471968982500262,0.5418240132429776,0.5354788476511809,0.6227917523598586,0.7005103411227505,0.7764070524699529,0.8507241185200348,0.8856415478615072,0.9292447833915899,0.4220192899651139
Precision_4,0.45451989315338115,0.47908887229275576,0.43150610876851553,0.44924533885765017,0.5001117318435754,0.40161609215163757,0.3837784371909001,0.42950351717810176,0.41143867924528305,0.3816512380522315,0.4788896276595745,0.4232544720138488,0.4411288691078293,0.49657580233651133,0.4145200698080279,0.49000206143063285,0.521461474036851,0.6098269896193772,0.5680582623858857,0.6124965744039463,0.6863619472315124,0.8234982519334675,0.9546596744236863,0.9377522195318806,0.37795033443530407
