,layer,alpha,success_rate,intervs
0,0,4,0.84,1
1,1,4,0.365,1
2,2,4,0.32,1
3,3,4,0.075,1
4,4,4,0.065,1
5,5,4,0.035,1
6,6,4,0.025,1
7,7,4,0.015,1
8,8,4,0.01,1
9,9,4,0.005,1
10,10,4,0.005,1
11,11,4,0.01,1
12,12,4,0.01,1
13,13,4,0.005,1
14,14,4,0.01,1
15,15,4,0.0,1
16,16,4,0.0,1
17,17,4,0.0,1
18,18,4,0.005,1
19,19,4,0.005,1
20,20,4,0.0,1
21,21,4,0.0,1
22,22,4,0.0,1
23,23,4,0.0,1
24,24,4,0.155,1
25,25,4,0.08,1
26,26,4,0.015,1
27,27,4,0.12,1
28,28,4,0.0,1
29,29,4,0.0,1
30,30,4,0.025,1
31,31,4,0.0,1
32,32,4,0.015,1
33,33,4,0.005,1
34,34,4,0.005,1
35,35,4,0.0,1
36,36,4,0.005,1
37,37,4,0.005,1
38,38,4,0.01,1
39,39,4,0.01,1
40,40,4,0.0,1
41,41,4,0.0,1
42,42,4,0.0,1
43,43,4,0.0,1
44,44,4,0.0,1
45,45,4,0.0,1
46,46,4,0.0,1
47,47,4,0.0,1
